Cust. ID,Arrival Time,Start Execution,Server ID,Exit System,Waiting Time,Turaround Time
178,2099.1,2099.1,0,2099.15,0,0.050000000000182
179,2104.54,2104.54,0,2106.98,0,2.44000000000005
180,2106.06,2106.98,0,2109.12,0.920000000000073,3.05999999999995
181,2112.11,2112.11,0,2112.68,0,0.569999999999709
182,2117.85,2117.85,0,2125.27,0,7.42000000000007
183,2119.74,2125.27,0,2125.65,5.5300000000002,5.91000000000031
184,2121.62,2125.65,0,2126.78,4.0300000000002,5.16000000000031
185,2131.54,2131.54,0,2132.73,0,1.19000000000005
186,2133.46,2133.46,0,2134.4,0,0.940000000000055
187,2139.05,2139.05,0,2140.31,0,1.25999999999976
188,2139.48,2140.31,0,2140.95,0.829999999999927,1.4699999999998
189,2143.17,2143.17,0,2145.75,0,2.57999999999993
190,2154.33,2154.33,0,2157.01,0,2.68000000000029
191,2160.1,2160.1,0,2160.88,0,0.7800000000002
192,2170.55,2170.55,0,2172.53,0,1.98000000000002
193,2190.56,2190.56,0,2190.88,0,0.320000000000164
194,2193.99,2193.99,0,2195.08,0,1.09000000000015
195,2200.57,2200.57,0,2200.6,0,0.029999999999745
196,2203.33,2203.33,0,2204.88,0,1.55000000000018
197,2210.18,2210.18,0,2211.9,0,1.72000000000025
198,2219.44,2219.44,0,2219.54,0,0.099999999999909
199,2225.92,2225.92,0,2228.73,0,2.80999999999995
200,2249.05,2249.05,0,2249.32,0,0.269999999999982
201,2269.43,2269.43,0,2270.9,0,1.47000000000025
202,2275.54,2275.54,0,2276.28,0,0.740000000000237
203,2293.51,2293.51,0,2293.62,0,0.109999999999673
204,2296.23,2296.23,0,2296.66,0,0.429999999999836
205,2317.8,2317.8,0,2318.99,0,1.1899999999996
206,2330.44,2330.44,0,2333.83,0,3.38999999999987
207,2330.51,2333.83,0,2333.97,3.31999999999971,3.45999999999958
208,2360,2360,0,2360.16,0,0.159999999999854
209,2372.66,2372.66,0,2375.05,0,2.39000000000033
210,2385.89,2385.89,0,2386.68,0,0.789999999999964
211,2411.76,2411.76,0,2412.33,0,0.569999999999709
212,2421.35,2421.35,0,2422.65,0,1.30000000000018
213,2426.41,2426.41,0,2426.56,0,0.150000000000091
214,2429.55,2429.55,0,2430.73,0,1.17999999999984
215,2432.87,2432.87,0,2433.17,0,0.300000000000182
216,2457.15,2457.15,0,2457.46,0,0.309999999999945
217,2459.55,2459.55,0,2459.65,0,0.099999999999909
218,2465.03,2465.03,0,2467.7,0,2.66999999999962
219,2469.4,2469.4,0,2474.24,0,4.83999999999969
220,2469.79,2474.24,0,2475.89,4.44999999999982,6.09999999999991
221,2470.43,2475.89,0,2477.71,5.46000000000004,7.2800000000002
222,2475.89,2477.71,0,2478.58,1.82000000000016,2.69000000000005
223,2481.48,2481.48,0,2481.79,0,0.309999999999945
224,2482.57,2482.57,0,2485.76,0,3.19000000000005
225,2490.08,2490.08,0,2490.76,0,0.680000000000291
226,2507.82,2507.82,0,2508.3,0,0.480000000000018
227,2520.21,2520.21,0,2520.96,0,0.75
228,2535.4,2535.4,0,2535.65,0,0.25
229,2538.77,2538.77,0,2539.39,0,0.619999999999891
230,2544.28,2544.28,0,2544.58,0,0.299999999999727
231,2554.92,2554.92,0,2556.24,0,1.31999999999971
232,2559.94,2559.94,0,2561.02,0,1.07999999999993
233,2561.61,2561.61,0,2561.79,0,0.179999999999836
234,2573.83,2573.83,0,2576.16,0,2.32999999999993
235,2587.73,2587.73,0,2590.16,0,2.42999999999984
236,2591.68,2591.68,0,2593.23,0,1.55000000000018
237,2611.24,2611.24,0,2612.08,0,0.840000000000146
238,2633.59,2633.59,0,2635.31,0,1.7199999999998
239,2654.63,2654.63,0,2655.83,0,1.19999999999982
240,2659.43,2659.43,0,2660.18,0,0.75
241,2663.61,2663.61,0,2663.82,0,0.210000000000036
242,2681.32,2681.32,0,2682.4,0,1.07999999999993
243,2687.14,2687.14,0,2687.25,0,0.110000000000127
244,2693.69,2693.69,0,2695.89,0,2.19999999999982
245,2695.81,2695.89,0,2699.55,0.079999999999927,3.74000000000024
246,2697,2699.55,0,2700.07,2.55000000000018,3.07000000000016
247,2705.03,2705.03,0,2705.81,0,0.779999999999745
248,2723.84,2723.84,0,2724.2,0,0.359999999999673
249,2730.92,2730.92,0,2731.73,0,0.809999999999945
250,2734.36,2734.36,0,2737.18,0,2.81999999999971
251,2738.65,2738.65,0,2738.88,0,0.230000000000018
252,2746.52,2746.52,0,2746.69,0,0.170000000000073
253,2749.84,2749.84,0,2752.51,0,2.67000000000007
254,2755.2,2755.2,0,2755.32,0,0.120000000000346
255,2778.36,2778.36,0,2780.52,0,2.15999999999985
256,2778.54,2780.52,0,2783.25,1.98000000000002,4.71000000000004
257,2779.95,2783.25,0,2784.97,3.30000000000018,5.01999999999998
258,2784.67,2784.97,0,2785.17,0.299999999999727,0.5
259,2807.01,2807.01,0,2807.98,0,0.9699999999998
260,2807.26,2807.98,0,2814.55,0.7199999999998,7.28999999999996
261,2832.34,2832.34,0,2832.47,0,0.129999999999654
262,2842.06,2842.06,0,2842.57,0,0.510000000000218
263,2842.48,2842.57,0,2843.12,0.090000000000146,0.639999999999873
264,2843.5,2843.5,0,2843.52,0,0.019999999999982
265,2853.63,2853.63,0,2853.63,0,0
266,2858.3,2858.3,0,2858.35,0,0.049999999999727
267,2887.56,2887.56,0,2889.14,0,1.57999999999993
268,2892.53,2892.53,0,2892.86,0,0.329999999999927
269,2901.55,2901.55,0,2901.94,0,0.389999999999873
270,2909.41,2909.41,0,2909.84,0,0.430000000000291
271,2926.6,2926.6,0,2928.63,0,2.0300000000002
272,2936.18,2936.18,0,2937.89,0,1.71000000000004
273,2949.52,2949.52,0,2949.59,0,0.070000000000164
274,2955.42,2955.42,0,2956.3,0,0.880000000000109
275,2958.97,2958.97,0,2962.36,0,3.39000000000033
276,2963.58,2963.58,0,2963.68,0,0.099999999999909
277,2974.95,2974.95,0,2979.55,0,4.60000000000036
278,2980.02,2980.02,0,2982.06,0,2.03999999999996
279,2983.23,2983.23,0,2984.97,0,1.73999999999978
280,2983.86,2984.97,0,2985.19,1.10999999999967,1.32999999999993
281,2998.86,2998.86,0,2999.34,0,0.480000000000018
282,3033.01,3033.01,0,3033.58,0,0.569999999999709
283,3039.37,3039.37,0,3039.92,0,0.550000000000182
284,3042.72,3042.72,0,3043.37,0,0.650000000000091
285,3046.3,3046.3,0,3046.6,0,0.299999999999727
286,3056.5,3056.5,0,3057.68,0,1.17999999999984
287,3058.47,3058.47,0,3059.9,0,1.43000000000029
288,3061.94,3061.94,0,3062.8,0,0.860000000000127
289,3069.92,3069.92,0,3072.83,0,2.90999999999985
290,3096.91,3096.91,0,3097.12,0,0.210000000000036
291,3101.76,3101.76,0,3102.63,0,0.869999999999891
292,3130.67,3130.67,0,3133.97,0,3.29999999999973
293,3136.97,3136.97,0,3138.48,0,1.51000000000022
294,3149.74,3149.74,0,3154.64,0,4.90000000000009
295,3152.09,3154.64,0,3156.57,2.54999999999973,4.48000000000002
296,3155.29,3156.57,0,3156.92,1.2800000000002,1.63000000000011
297,3156.26,3156.92,0,3159.35,0.659999999999855,3.08999999999969
298,3209.93,3209.93,0,3211.86,0,1.93000000000029
299,3214.87,3214.87,0,3217.19,0,2.32000000000016
300,3223.18,3223.18,0,3223.5,0,0.320000000000164
301,3247.83,3247.83,0,3249.69,0,1.86000000000013
302,3250.86,3250.86,0,3251.25,0,0.389999999999873
303,3253.27,3253.27,0,3253.34,0,0.070000000000164
304,3261.64,3261.64,0,3263.42,0,1.7800000000002
305,3294.4,3294.4,0,3294.94,0,0.539999999999964
306,3309.97,3309.97,0,3310.05,0,0.080000000000382
307,3311.6,3311.6,0,3312.58,0,0.980000000000018
308,3314.31,3314.31,0,3315.68,0,1.36999999999989
309,3316.41,3316.41,0,3317.94,0,1.5300000000002
310,3317.85,3317.94,0,3318.96,0.090000000000146,1.11000000000013
311,3318.69,3318.96,0,3323.04,0.269999999999982,4.34999999999991
312,3320.31,3323.04,0,3324.3,2.73000000000002,3.99000000000024
313,3327.17,3327.17,0,3328.61,0,1.44000000000005
314,3342.38,3342.38,0,3346.96,0,4.57999999999993
315,3362.99,3362.99,0,3365.85,0,2.86000000000013
316,3368.94,3368.94,0,3370.52,0,1.57999999999993
317,3375.01,3375.01,0,3375.14,0,0.129999999999654
318,3412.39,3412.39,0,3414.51,0,2.12000000000035
319,3424.85,3424.85,0,3427.01,0,2.16000000000031
320,3424.88,3427.01,0,3427.95,2.13000000000011,3.06999999999971
321,3432.88,3432.88,0,3433.11,0,0.230000000000018
322,3449.51,3449.51,0,3450.35,0,0.839999999999691
323,3454.75,3454.75,0,3455.38,0,0.630000000000109
